Count,Core Person - Person → ID
1,574
3,602
1,617
2,639
3,681
2,728
1,794
1,834
1,836
1,863
1,936
1,989
1,1022
2,1066
1,1358
1,1359
1,1541
1,1897
1,1948
1,3859
3,4197
1,4336
1,4365
1,4369
1,4499
6,4510
2,4564
3,4566
1,4593
1,5350
4,6208
1,6216
1,6219
1,6229
1,6231
1,6239
1,6242
3,6260
2,6473
1,6666
2,6668
3,6674
1,6676
2,6678
1,6683
1,6684
1,6690
1,6864
1,6896
2,7052
1,7414
1,7761
2,9267
2,9277
1,9619
1,9620
2,9653
1,9670
1,9684
2,10275
1,10301
1,11136
2,11142
2,11151
1,11183
1,11297
1,11304
1,11416
1,12400
1,12406
2,12698
2,13267
3,13273
1,13285
1,13290
2,13961
2,14602
1,14687
2,14867
1,14995
2,15287
2,15455
1,15810
1,15811
1,15866
1,16016
1,16838
1,17762
1,17776
1,18266
1,18951
1,18968
4,19022
1,19151
1,19152
3,19157
1,19175
1,19179
1,19303
2,19313
1,19949
1,19951
1,19961
1,19987
1,20819
1,20829
1,20849
1,20853
1,20870
1,21132
1,21133
2,21390
2,21826
1,21830
2,21839
1,21840
3,21846
3,21853
2,21910
1,21998
1,22394
1,23210
2,23215
1,23335
2,23336
2,23337
2,23363
2,23388
1,25531
1,26309
1,26641
2,26642
1,26643
1,26644
1,26707
1,26717
1,26718
1,26965
1,26968
1,27049
1,27328
2,27469
1,27471
2,27473
1,27475
1,27494
1,27502
