id,party,name_name
3,ACDP,African Christian Democratic Party
17,Al Jama-ah,Al Jama-Ah
1,ANC,African National Congress
21,Action SA,Action South Africa
15,ATM,African Transformation Movement
23,BOSA,Build One South Africa
24,NCC,National Coloured Congress
2,DA,Democratic Alliance
11,EFF,Economic Freedom Fighters
8,FF+,Freedom Front + 
16,GOOD,Good
4,IFP,Inkatha Freedom Party
19,MK,Umkhonto Wesizwe
20,PA,Patriotic Alliance
10,PAC,Pan Africanist Congress of Azania
22,RISE Mzansi,Rise Mzansi
25,UAT,United Africans Transformation
6,UDM,United Democratic Movement
